CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Tenure Months,Monthly Charges,Total Charges,Avg Monthly Spend,Churn Score,Churn Label,Churn Value,CLTV,Customer Tenure Group,High Value Customer,Service Utilization,Churn Reason,Churn Reason Cleaned,Churn Reason Grouped,Streaming Services,Electronic Check User,Autopay User,Support Score
9191-MYQKX,1,United States,California,Lynwood,90262,"33.923573, -118.200669",33.923573,-118.200669,Female,No,Yes,Yes,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),7,75.15,496.9,70.98571428571428,70,Yes,1,3457,Short Term,No,Few,Service dissatisfaction,Service dissatisfaction,Service Issues,No,0,1,1
8637-XJIVR,1,United States,California,Marina Del Rey,90292,"33.977468, -118.445475",33.977468,-118.445475,Female,No,No,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,12,78.95,927.35,77.27916666666667,86,Yes,1,5806,Short Term,Yes,Few,Lack of self-service on Website,Lack of self-service on Website,Customer Service,No,1,0,1
0278-YXOOG,1,United States,California,Inglewood,90301,"33.956445, -118.358634",33.956445,-118.358634,Male,No,No,No,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,5,21.05,113.85,22.77,66,Yes,1,2604,Short Term,No,Few,Network reliability,Network reliability,Service Issues,No,0,0,0
4598-XLKNJ,1,United States,California,Inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639,Female,Yes,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,25,98.5,2514.5,100.58,88,Yes,1,5337,Medium Term,No,Multiple,Limited range of services,Limited range of services,Service Issues,Yes,1,0,1
3192-NQECA,1,United States,California,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),68,110.0,7611.85,111.93897058823529,86,Yes,1,5034,Long Term,No,Multiple,Lack of affordable download/upload speed,Lack of affordable download/upload speed,Service Issues,Yes,0,1,2
0486-HECZI,1,United States,California,Torrance,90504,"33.867257, -118.330794",33.867257,-118.330794,Male,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,55,96.75,5238.9,95.25272727272727,75,Yes,1,5154,Long Term,No,Multiple,Long distance charges,Long distance charges,Pricing,Yes,1,0,1
4846-WHAFZ,1,United States,California,Whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,Female,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,37,76.5,2868.15,77.51756756756757,67,Yes,1,2793,Medium Term,No,Few,Extra data charges,Extra data charges,Pricing,No,1,0,0
5299-RULOA,1,United States,California,Whittier,90606,"33.976678, -118.065875",33.976678,-118.065875,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,10,100.25,1064.65,106.465,87,Yes,1,5998,Short Term,Yes,Multiple,Price too high,Price too high,Pricing,Yes,1,0,1
0404-SWRVG,1,United States,California,La Habra,90631,"33.940619, -117.9513",33.940619,-117.9513,Male,No,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,3,74.4,229.55,76.51666666666667,76,Yes,1,4415,Short Term,No,Few,Product dissatisfaction,Product dissatisfaction,Service Issues,No,1,0,0
4412-YLTKF,1,United States,California,Pico Rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,Female,Yes,No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,27,78.05,2135.5,79.0925925925926,95,Yes,1,4638,Medium Term,No,Few,Service dissatisfaction,Service dissatisfaction,Service Issues,No,1,0,1
6207-WIOLX,1,United States,California,Avalon,90704,"33.391181, -118.421305",33.391181,-118.421305,Female,No,Yes,No,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),25,58.6,1502.65,60.106,99,Yes,1,4190,Medium Term,No,Multiple,Lack of self-service on Website,Lack of self-service on Website,Customer Service,Yes,0,1,2
3091-FYHKI,1,United States,California,Harbor City,90710,"33.798266, -118.300237",33.798266,-118.300237,Male,No,No,No,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1,35.45,35.45,35.45,80,Yes,1,2301,Short Term,No,Few,Network reliability,Network reliability,Service Issues,Yes,1,0,0
2372-HWUHI,1,United States,California,Lakewood,90712,"33.840524, -118.148403",33.840524,-118.148403,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,2,44.35,81.25,40.625,76,Yes,1,2570,Short Term,No,Few,Don't know,Don't know,Other,No,1,0,0
0390-DCFDQ,1,United States,California,Los Alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,Female,Yes,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,70.45,70.45,70.45,76,Yes,1,3964,Short Term,No,Few,Don't know,Don't know,Other,No,0,0,0
4080-OGPJL,1,United States,California,San Pedro,90731,"33.736387, -118.284363",33.736387,-118.284363,Female,No,No,No,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,8,71.15,563.65,70.45625,66,Yes,1,2662,Short Term,No,Multiple,Don't know,Don't know,Other,Yes,1,0,2
2135-RXIHG,1,United States,California,Carson,90745,"33.822295, -118.26411",33.822295,-118.26411,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,45.65,45.65,45.65,73,Yes,1,2600,Short Term,No,Few,Poor expertise of online support,Poor expertise of online support,Customer Service,No,1,0,0
3874-EQOEP,1,United States,California,Long Beach,90804,"33.783047, -118.1486",33.783047,-118.1486,Male,No,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,7,95.0,655.5,93.64285714285714,94,Yes,1,2786,Short Term,No,Few,Poor expertise of phone support,Poor expertise of phone support,Customer Service,Yes,0,0,0
0867-MKZVY,1,United States,California,Altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,20,82.4,1592.35,79.61749999999999,86,Yes,1,5719,Medium Term,Yes,Few,Price too high,Price too high,Pricing,No,1,0,1
3376-BMGFE,1,United States,California,Monrovia,91016,"34.1528, -118.000482",34.1528,-118.000482,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),4,70.9,273.0,68.25,75,Yes,1,4287,Short Term,No,Few,Product dissatisfaction,Product dissatisfaction,Service Issues,No,0,1,0
3445-HXXGF,1,United States,California,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505,Male,Yes,Yes,No,No,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,58,45.3,2651.2,45.710344827586205,100,Yes,1,5444,Long Term,Yes,Multiple,Service dissatisfaction,Service dissatisfaction,Service Issues,Yes,1,0,1
1875-QIVME,1,United States,California,Tujunga,91042,"34.296574, -118.244839",34.296574,-118.244839,Female,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2,104.4,242.8,121.4,83,Yes,1,4690,Short Term,No,Multiple,Lack of self-service on Website,Lack of self-service on Website,Customer Service,Yes,1,0,2
0691-JVSYA,1,United States,California,Pasadena,91103,"34.167465, -118.165327",34.167465,-118.165327,Female,No,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),53,94.85,5000.2,94.3433962264151,80,Yes,1,4328,Long Term,No,Multiple,Network reliability,Network reliability,Service Issues,Yes,0,1,1
2656-FMOKZ,1,United States,California,Pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658,Female,Yes,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,15,74.45,1145.7,76.38000000000001,99,Yes,1,5717,Medium Term,Yes,Few,Limited range of services,Limited range of services,Service Issues,No,0,0,0
2070-FNEXE,1,United States,California,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,Female,Yes,No,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),7,76.45,503.6,71.94285714285715,81,Yes,1,4419,Short Term,No,Few,Lack of affordable download/upload speed,Lack of affordable download/upload speed,Service Issues,No,0,1,1
6317-YPKDH,1,United States,California,Glendale,91202,"34.167926, -118.267539",34.167926,-118.267539,Female,No,No,No,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1,29.95,29.95,29.95,95,Yes,1,4534,Short Term,No,Few,Long distance charges,Long distance charges,Pricing,No,0,1,0
9367-WXLCH,1,United States,California,Glendale,91204,"34.136306, -118.26036",34.136306,-118.26036,Male,No,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),8,84.5,662.65,82.83125,86,Yes,1,2152,Short Term,No,Few,Extra data charges,Extra data charges,Pricing,Yes,0,1,0
1918-ZBFQJ,1,United States,California,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,Female,No,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,13,79.25,1111.65,85.51153846153846,73,Yes,1,5142,Medium Term,No,Few,Price too high,Price too high,Pricing,No,1,0,1
1024-GUALD,1,United States,California,Glendale,91207,"34.182378, -118.262922",34.182378,-118.262922,Female,No,Yes,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,24.8,24.8,24.8,94,Yes,1,4851,Short Term,No,Few,Product dissatisfaction,Product dissatisfaction,Service Issues,No,1,0,0
2472-OVKUP,1,United States,California,Canoga Park,91304,"34.224377, -118.632656",34.224377,-118.632656,Male,No,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,6,91.0,531.0,88.5,94,Yes,1,2283,Short Term,No,Multiple,Service dissatisfaction,Service dissatisfaction,Service Issues,Yes,1,0,1
1285-OKIPP,1,United States,California,Mission Hills,91345,"34.266389, -118.459744",34.266389,-118.459744,Male,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,1,79.9,79.9,79.9,98,Yes,1,3394,Short Term,No,Few,Lack of self-service on Website,Lack of self-service on Website,Customer Service,Yes,1,0,0
7825-ECJRF,1,United States,California,Santa Clarita,91350,"34.502432, -118.41459",34.502432,-118.41459,Female,No,No,Yes,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,19,106.6,1934.45,101.81315789473685,71,Yes,1,3764,Medium Term,No,Multiple,Network reliability,Network reliability,Service Issues,Yes,1,0,3
7841-TZDMQ,1,United States,California,Sun Valley,91352,"34.231053, -118.338307",34.231053,-118.338307,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),2,46.0,84.5,42.25,76,Yes,1,2667,Short Term,No,Few,Don't know,Don't know,Other,No,0,1,0
9408-SSNVZ,1,United States,California,Stevenson Ranch,91381,"34.364153, -118.615583",34.364153,-118.615583,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,4,70.15,268.35,67.0875,67,Yes,1,2227,Short Term,No,Few,Don't know,Don't know,Other,No,1,0,0
0742-MOABM,1,United States,California,Panorama City,91402,"34.223768, -118.445461",34.223768,-118.445461,Male,No,Yes,No,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,4,50.05,179.35,44.8375,82,Yes,1,3394,Short Term,No,Few,Don't know,Don't know,Other,No,0,0,1
2232-DMLXU,1,United States,California,Van Nuys,91411,"34.17847, -118.459472",34.17847,-118.459472,Female,No,Yes,No,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,1,55.2,55.2,55.2,81,Yes,1,3638,Short Term,No,Few,Poor expertise of online support,Poor expertise of online support,Customer Service,Yes,0,0,0
8937-RDTHP,1,United States,California,Burbank,91504,"34.213049, -118.317651",34.213049,-118.317651,Male,No,No,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,1,84.6,84.6,84.6,66,Yes,1,2484,Short Term,No,Few,Poor expertise of phone support,Poor expertise of phone support,Customer Service,Yes,0,0,1
1251-KRREG,1,United States,California,North Hollywood,91601,"34.1692, -118.372498",34.1692,-118.372498,Male,No,No,No,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,2,54.4,114.1,57.05,81,Yes,1,2556,Short Term,No,Few,Price too high,Price too high,Pricing,No,0,0,0
0094-OIFMO,1,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,Female,Yes,No,Yes,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,11,95.0,1120.3,101.84545454545454,85,Yes,1,5980,Short Term,Yes,Multiple,Product dissatisfaction,Product dissatisfaction,Service Issues,Yes,1,0,0
9947-OTFQU,1,United States,California,Covina,91722,"34.097345, -117.906736",34.097345,-117.906736,Male,Yes,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,15,74.4,1074.3,71.61999999999999,86,Yes,1,4616,Medium Term,No,Few,Service dissatisfaction,Service dissatisfaction,Service Issues,No,1,0,0
0322-YINQP,1,United States,California,Covina,91723,"34.084747, -117.886844",34.084747,-117.886844,Male,No,No,No,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,48.55,48.55,48.55,77,Yes,1,5687,Short Term,Yes,Few,Lack of self-service on Website,Lack of self-service on Website,Customer Service,No,0,0,1
4629-NRXKX,1,United States,California,El Monte,91731,"34.079934, -118.046695",34.079934,-118.046695,Female,No,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,2,70.4,147.15,73.575,75,Yes,1,5687,Short Term,Yes,Few,Network reliability,Network reliability,Service Issues,No,1,0,0
9514-JDSKI,1,United States,California,El Monte,91732,"34.074492, -118.01462",34.074492,-118.01462,Male,Yes,Yes,No,No,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,1,40.2,40.2,40.2,65,Yes,1,5828,Short Term,Yes,Few,Limited range of services,Limited range of services,Service Issues,Yes,1,0,0
4959-JOSRX,1,United States,California,La Puente,91744,"34.031441, -117.936436",34.031441,-117.936436,Female,No,Yes,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),2,44.6,80.55,40.275,99,Yes,1,4884,Short Term,No,Few,Lack of affordable download/upload speed,Lack of affordable download/upload speed,Service Issues,No,0,1,0
7273-TEFQD,1,United States,California,La Puente,91746,"34.038983, -117.991372",34.038983,-117.991372,Male,Yes,No,No,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,3,41.15,132.2,44.06666666666666,96,Yes,1,2314,Short Term,No,Few,Long distance charges,Long distance charges,Pricing,Yes,1,0,1
3606-TWKGI,1,United States,California,Rowland Heights,91748,"33.976753, -117.897367",33.976753,-117.897367,Male,Yes,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,13,106.9,1364.3,104.94615384615385,84,Yes,1,2494,Medium Term,No,Multiple,Extra data charges,Extra data charges,Pricing,Yes,1,0,1
6323-AYBRX,1,United States,California,Ontario,91762,"34.057256, -117.667677",34.057256,-117.667677,Male,No,No,No,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,59,19.35,1099.6,18.63728813559322,83,Yes,1,5084,Long Term,No,Few,Price too high,Price too high,Pricing,No,0,0,0
4385-GZQXV,1,United States,California,Ontario,91764,"34.074087, -117.605618",34.074087,-117.605618,Female,Yes,No,No,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,16,94.45,1511.2,94.45,81,Yes,1,3810,Medium Term,No,Multiple,Product dissatisfaction,Product dissatisfaction,Service Issues,Yes,1,0,1
6366-ZGQGL,1,United States,California,Pomona,91766,"34.042286, -117.756106",34.042286,-117.756106,Male,No,No,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1,24.8,24.8,24.8,73,Yes,1,5087,Short Term,No,Few,Service dissatisfaction,Service dissatisfaction,Service Issues,No,0,1,0
5940-AHUHD,1,United States,California,Pomona,91768,"34.067932, -117.785168",34.067932,-117.785168,Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,1,70.6,70.6,70.6,69,Yes,1,3338,Short Term,No,Few,Lack of self-service on Website,Lack of self-service on Website,Customer Service,No,0,0,0
6432-TWQLB,1,United States,California,Rosemead,91770,"34.065108, -118.082791",34.065108,-118.082791,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,5,85.4,401.1,80.22,80,Yes,1,3676,Short Term,No,Few,Network reliability,Network reliability,Service Issues,No,1,0,1
4484-GLZOU,1,United States,California,San Dimas,91773,"34.102119, -117.815532",34.102119,-117.815532,Female,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,52,105.05,5624.85,108.17019230769232,65,Yes,1,4839,Long Term,No,Multiple,Don't know,Don't know,Other,Yes,1,0,1
9512-UIBFX,1,United States,California,West Covina,91791,"34.061634, -117.893169",34.061634,-117.893169,Male,No,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,18,95.15,1779.95,98.88611111111112,68,Yes,1,4643,Medium Term,No,Multiple,Don't know,Don't know,Other,Yes,0,0,1
5583-SXDAG,1,United States,California,Alhambra,91803,"34.074736, -118.145959",34.074736,-118.145959,Male,No,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,1,70.0,70.0,70.0,97,Yes,1,4094,Short Term,No,Few,Don't know,Don't know,Other,No,1,0,0
3488-PGMQJ,1,United States,California,Alpine,91901,"32.827184, -116.703729",32.827184,-116.703729,Male,Yes,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,8,74.5,606.55,75.81875,80,Yes,1,4345,Short Term,No,Few,Poor expertise of online support,Poor expertise of online support,Customer Service,No,1,0,0
3580-REOAC,1,United States,California,Bonita,91902,"32.67117, -117.00232",32.67117,-117.00232,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),10,44.85,435.4,43.54,83,Yes,1,4061,Short Term,No,Few,Poor expertise of phone support,Poor expertise of phone support,Customer Service,No,0,1,0
7534-BFESC,1,United States,California,Boulevard,91905,"32.677097, -116.304991",32.677097,-116.304991,Male,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24,76.1,1712.7,71.3625,98,Yes,1,2018,Medium Term,No,Few,Price too high,Price too high,Pricing,No,1,0,0
6390-DSAZX,1,United States,California,Guatay,91931,"32.857946, -116.561917",32.857946,-116.561917,Female,No,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,73.6,73.6,73.6,80,Yes,1,2565,Short Term,No,Few,Product dissatisfaction,Product dissatisfaction,Service Issues,No,0,0,1
